path,category,file_size,file_size_human,compressed_size,extension
overrides/config/resourceful-config-web.json,config,196,196 B,134,.json
overrides/config/rrls.toml,config,901,901 B,337,.toml
overrides/config/rrp.properties,config,148,148 B,125,.properties
overrides/config/RuOK.toml,config,1003,1003 B,436,.toml
overrides/config/saturn-optimizations.toml,config,445,445 B,245,.toml
overrides/config/scalablelux.properties,config,84,84 B,86,.properties
overrides/config/shouldersurfing-client.toml,config,16830,16.44 KB,3263,.toml
overrides/config/showmeyourskin-server.json,config,109,109 B,71,.json
overrides/config/showmeyourskin.json,config,2878,2.81 KB,429,.json
overrides/config/sit.json5,config,328,328 B,196,.json5
overrides/config/skinlayers.json,config,497,497 B,217,.json
overrides/config/smarterfarmers-common.toml,config,300,300 B,182,.toml
overrides/config/smoothboot.json,config,198,198 B,112,.json
overrides/config/smoothscroll.json,config,595,595 B,308,.json
overrides/config/smoothswapping.json,config,72,72 B,65,.json
overrides/config/sodium-extra-options.json,config,1485,1.45 KB,517,.json
overrides/config/sodium-extra.properties,config,360,360 B,227,.properties
overrides/config/sodium-fingerprint.json,config,427,427 B,262,.json
overrides/config/sodium-mixins.properties,config,258,258 B,173,.properties
overrides/config/sodium-options.json,config,761,761 B,354,.json
overrides/config/sodiumdynamiclights-client.toml,config,655,655 B,307,.toml
overrides/config/sodiumextras-client.toml,config,4966,4.85 KB,1779,.toml
overrides/config/structure_layout_optimizer.jsonc,config,1058,1.03 KB,521,.jsonc
overrides/config/tacz-client.toml,config,3715,3.63 KB,1615,.toml
overrides/config/tacz-common.toml,config,2172,2.12 KB,945,.toml
overrides/config/taczaddon-client.toml,config,1213,1.18 KB,719,.toml
overrides/config/taczexpands-client.toml,config,350,350 B,196,.toml
overrides/config/taczexpands-common.toml,config,250,250 B,163,.toml
overrides/config/taczexpands-pre.toml,config,71,71 B,72,.toml
overrides/config/tacz_x_guns_lights_addon-client.toml,config,1246,1.22 KB,605,.toml
overrides/config/timeclock.json,config,442,442 B,232,.json
overrides/config/tips.json,config,274,274 B,172,.json
overrides/config/tipsmod.json,config,889,889 B,369,.json
overrides/config/toadlib_config.json,config,98,98 B,86,.json
overrides/config/toadlib_config.toadcfg,config,82,82 B,75,.toadcfg
overrides/config/toadlib_config.txt,config,67,67 B,68,.txt
overrides/config/torohealth.json,config,671,671 B,287,.json
overrides/config/tp_shooting-client.toml,config,677,677 B,368,.toml
overrides/config/tramplestopper.json,config,59,59 B,58,.json
overrides/config/transition.json,config,62,62 B,60,.json
overrides/config/travelersbackpack-client.toml,config,950,950 B,456,.toml
overrides/config/travelersbackpack-common.toml,config,6986,6.82 KB,1802,.toml
overrides/config/travelerstitles-fabric-1_21.toml,config,726,726 B,296,.toml
overrides/config/travelerstitles-forge-1_20.toml,config,10709,10.46 KB,1676,.toml
overrides/config/travelerstitles-neoforge-1_21.toml,config,10680,10.43 KB,1672,.toml
overrides/config/trender.json,config,47,47 B,45,.json
overrides/config/tweakermore.json,config,40860,39.90 KB,4905,.json
overrides/config/tweakeroo.json,config,26817,26.19 KB,4305,.json
overrides/config/twilightforest-client.toml,config,1565,1.53 KB,813,.toml
overrides/config/twilightforest-common.toml,config,7758,7.58 KB,2897,.toml
overrides/config/uncrafter.jsonc,config,563,563 B,203,.jsonc
overrides/config/universalenchants-client.toml,config,292,292 B,218,.toml
overrides/config/universalenchants-common.toml,config,516,516 B,285,.toml
overrides/config/universalenchants-server.toml,config,1831,1.79 KB,782,.toml
overrides/config/visualworkbench-client.toml,config,459,459 B,243,.toml
overrides/config/visualworkbench-common.toml,config,350,350 B,197,.toml
overrides/config/voicechat-client.toml,config,94,94 B,78,.toml
overrides/config/voidtotem-client.toml,config,258,258 B,163,.toml
overrides/config/voidtotem-common.toml,config,892,892 B,450,.toml
overrides/config/watut-client.toml,config,3236,3.16 KB,1291,.toml
overrides/config/watut-common.toml,config,154,154 B,137,.toml
overrides/config/watut-item-arm-adjustments.json,config,3367,3.29 KB,927,.json
overrides/config/watut-server.toml,config,2880,2.81 KB,1280,.toml
overrides/config/waystones-common.toml,config,7824,7.64 KB,2317,.toml
overrides/config/xaerohud.txt,config,126,126 B,93,.txt
overrides/config/xaerominimap-common.txt.backup0,config,145,145 B,90,.backup0
overrides/config/xaerominimap-common.txt.backup1,config,145,145 B,90,.backup1
overrides/config/xaerominimap.txt,config,3643,3.56 KB,1438,.txt
overrides/config/xaerominimap_entities.json,config,5531,5.40 KB,728,.json
overrides/config/xaeropatreon.txt,config,0,0 B,0,.txt
overrides/config/xaeroworldmap-common.txt.backup0,config,120,120 B,84,.backup0
overrides/config/xaeroworldmap-common.txt.backup1,config,120,120 B,84,.backup1
overrides/config/xaeroworldmap.txt,config,1218,1.19 KB,593,.txt
overrides/config/xaeroworldmap.txt.backup0,config,1218,1.19 KB,593,.backup0
overrides/config/yacl.json5,config,250,250 B,185,.json5
overrides/config/yungsmenutweaks-forge-1_20_1.toml,config,819,819 B,393,.toml
overrides/config/zoomify.json,config,713,713 B,324,.json
overrides/config/zume.json5,config,2405,2.35 KB,928,.json5
overrides/config/apotheosis/adventure.cfg,config,6441,6.29 KB,2161,.cfg
overrides/config/apotheosis/apotheosis.cfg,config,1060,1.04 KB,413,.cfg
overrides/config/apotheosis/ench.cfg,config,480,480 B,327,.cfg
overrides/config/apotheosis/enchantments.cfg,config,104469,102.02 KB,2507,.cfg
overrides/config/apotheosis/garden.cfg,config,730,730 B,323,.cfg
overrides/config/apotheosis/names.cfg,config,69801,68.17 KB,10160,.cfg
overrides/config/apotheosis/potion.cfg,config,884,884 B,494,.cfg
overrides/config/apotheosis/spawner.cfg,config,861,861 B,476,.cfg
overrides/config/apotheosis/village.cfg,config,817,817 B,354,.cfg
overrides/config/artifacts/client.json5,config,551,551 B,303,.json5
overrides/config/artifacts/common.json5,config,1584,1.55 KB,783,.json5
overrides/config/asyncparticles/asyncparticles-mixin.properties,config,2723,2.66 KB,777,.properties
overrides/config/asyncparticles/asyncparticles.json,config,1357,1.33 KB,517,.json
overrides/config/betterdeserttemples/README.txt,config,722,722 B,362,.txt
overrides/config/betterdeserttemples/forge-1_20/armorstands.json,config,1104,1.08 KB,218,.json
overrides/config/betterdeserttemples/forge-1_20/itemframes.json,config,614,614 B,224,.json
