path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_button_pressed.png,resourcepacks,6816,6.66 KB,1452,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/backslash_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/backslash_key.png,resourcepacks,491,491 B,501,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/n_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/n_key_pressed.png,resourcepacks,756,756 B,709,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/period_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/period_key.png,resourcepacks,494,494 B,504,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f11_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f11_key_pressed.png,resourcepacks,323,323 B,333,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/g_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/g_key.png,resourcepacks,317,317 B,327,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/dpad_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/dpad_left.png,resourcepacks,207,207 B,213,.png
overrides/config/modpack_defaults/config/c2me.toml,config/modpack_defaults/config/c2me.toml,config,9193,8.98 KB,3400,.toml
overrides/config/modpack_defaults/resource_albums/plastic.json,config/modpack_defaults/resource_albums/plastic.json,config,477,477 B,228,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/o_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/o_key.png,resourcepacks,307,307 B,317,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/right_stick_pressed_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/right_stick_pressed_right.png,resourcepacks,265,265 B,274,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/hd/left_trigger_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/hd/left_trigger_pressed.png,resourcepacks,6727,6.57 KB,1341,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/down_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/down_button_pressed.png,resourcepacks,222,222 B,229,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f9_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f9_key.png,resourcepacks,773,773 B,728,.png
