source_format,path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512,projectID,fileID,required
modrinth-mrpack,mods/gnetum-3.3.4.jar,109021,106.47 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/7MoE34WK/versions/Ft7Yf40c/gnetum-3.3.4.jar,fd3d99568238c11b0035521468db03a6fd6bb38e,1be541a1a4214e9be94ccd84b9a46c8889e65a1255d4fe29b0a74a0ff1fc60fcb73d2381461146a438e6a856e1f67be612adfe2e843362e8cb6f546be3de56fe,,,
modrinth-mrpack,mods/iris-neoforge-1.8.12+mc1.21.1.jar,2438548,2.33 MB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/YL57xq9U/versions/t3ruzodq/iris-neoforge-1.8.12%2Bmc1.21.1.jar,a3e6355915c7d3b2bc392724795113e51d289378,57b8026a3c3c433cf6123d63dc6ce7e11f6d480a72926370db1fc7f2b06059bc16a753ecd7e7af659c19e90b592103196b0e89585ce4f0744a4ca433f59bcf1a,,,
modrinth-mrpack,mods/lambdabettergrass-2.0.4+1.21.1.jar,1612947,1.54 MB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/2Uev7LdA/versions/WdPLwaZg/lambdabettergrass-2.0.4%2B1.21.1.jar,5079377a1d281146da8b4c6403f24b7048485617,f4c001f463a9a04bc2b197638f53628c446c9f7061d7b23b2dd11931dc32b0368bdf1ab9263c5f24fbd03cf50f74614b3901cd45202162073c26cf2d000498d3,,,
modrinth-mrpack,mods/lambdynamiclights-4.8.8+1.21.1.jar,2017417,1.92 MB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/yBW8D80W/versions/IQcvNDtF/lambdynamiclights-4.8.8%2B1.21.1.jar,d0ab30eebffdb999c07964c5775b199792b5cf46,34c279e7f4edf3ff68ad8d33a8cac49a75402630b95a9bfda20880880c2a425fc64c61f63d5406a0243be5b6d5df24eb745c2c5799871fc4a6e5cac4ae2f9426,,,
modrinth-mrpack,mods/lazy-language-loader-0.3.7.jar,24354,23.78 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/Nz0RSWrF/versions/4cZkq7uT/lazy-language-loader-0.3.7.jar,ea6349ba680dc616df1dc9b0d348b9d416bf2025,3d1ad59a3c30fe4f6180eadb92ba2149757e01038ae72621b483e1d6060c6c05436a9d78960f73223ff73aa0f0fe13fb9138cafdb7e30b7de3f42fa4d553d3f6,,,
modrinth-mrpack,mods/legacy-mechanics-1.1.0.jar,450207,439.66 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/sToP3cPO/versions/Yf6bbKjw/legacy-mechanics-1.1.0.jar,5e53fd5438716b849e57b8c68442272e947e75c5,21c6f9d84491c748a8dfc79c6c1e7c43f2ee02f435446da967216b10f86ac87756244f26497514bf1471bed0c1d926def5a9108713513fc34d1edb6d6f5d9baf,,,
modrinth-mrpack,mods/legacyskins-1.6.5+neoforge+1.21.1.jar,2454390,2.34 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/4UNJZ4cX/versions/27MMxJyP/legacyskins-1.6.5%2Bneoforge%2B1.21.1.jar,b091ebf1e22ce7558a550ed85faaa247a6dbb0e3,5522392d96fa05d5ba9ac39e138c866eef444efd11d49e6877195932d58f7ef3e275bbe8d58e149550a4ea3b07c96947919960a5a70e9b05f03985b47da3a6f0,,,
modrinth-mrpack,mods/lithium-neoforge-0.15.1+mc1.21.1.jar,749987,732.41 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/gvQqBUqZ/versions/G5SDYehn/lithium-neoforge-0.15.1%2Bmc1.21.1.jar,38295e15a600899697a5dbd29b1e9c15060e5760,1975e74294798fe173d944d3e0b174b39dc8b7fa177340acb71c8a85772932b82c9406099c854d45fa4f71b80dbbb73602fd7cc36d1374dfc8402e4a30ccfe3b,,,
modrinth-mrpack,mods/macos-input-fixes-1.10.jar,85773,83.76 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/x9BrsVME/versions/XJx2d4Os/macos-input-fixes-1.10.jar,3903ec0e5c339fa24201147007cce9805bad7d60,3c0b92ef243ea34be5e0240afbbc7c2eaa18a8378ad3c9ce71a3699c8ffd8d3c5424c0ab029a123dcf0fc218c769f08805d0e0a40d1196a1593247e05b881989,,,
modrinth-mrpack,mods/modelfix-1.21-1.10.jar,47035,45.93 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/QdG47OkI/versions/X2U8ceG9/modelfix-1.21-1.10.jar,9608b1bff92e075ad8c2feb07f7ef095f6887117,647cab9a1bed84e10cfe77732a66bdfe116a6371dcceadcf896083654f7ab39542df4152674b5a3a653e3b36f517f5c1bff4c25db37dd789df9eeb1e1d799c07,,,
modrinth-mrpack,mods/moderner-beta-neoforge-4.1.8+1.21.1.jar,2481072,2.37 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/xkrdwmh2/versions/yVn03XFR/moderner-beta-neoforge-4.1.8%2B1.21.1.jar,cf1aaa4209e8493533021a1cc66f76215fb93c44,7fa94ad35f76316027875ec0fc1b13d5e1752ef5da8a9c4cb29afe8fdd9c24c6690aff4384f36ec3a4c2ee65d4c04bbda94bd9f47facdc256c8e03e57546fed4,,,
modrinth-mrpack,mods/modernfix-neoforge-5.25.1+mc1.21.1.jar,569818,556.46 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/nmDcB62a/versions/8Be8uJW6/modernfix-neoforge-5.25.1%2Bmc1.21.1.jar,5407ee2d311f6f16773292fe22942a023a19677d,e82ba385f2f4737bc5817db449c9e0082ec86e710265f6e991df562da8dbf2f27b1472c62f7f74ff9c38d51b49a5cc4acd8680d3aa00a266c10826a54624ca84,,,
modrinth-mrpack,mods/no-telemetry-1.9.0.jar,95978,93.73 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/hg77g4Pw/versions/OwTaGd6A/no-telemetry-1.9.0.jar,19545f40c8231fafdc183ea1c675ecbf3ecf025d,4527236781611cc40a77e222e4dd2a1d6a5c0c9a9394eed4063c20c91ba62568c2d4323bc84a9372d69d10703e26b7569ef75ea55c52ad36ec55107f19bcaae8,,,
modrinth-mrpack,mods/ok_zoomer-neo-10.0.0-beta.13.jar,208085,203.21 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/aXf2OSFU/versions/AkPuuAgJ/ok_zoomer-neo-10.0.0-beta.13.jar,bf38fe686628eca79cc1b33c6e60a1eb765c6b39,a7abed243ef8f535dbd24dc6e8a211cc42d28ff2c72322f04dc289e2de6fde4ca00ee2dd3943fad7aa24dc3af497b379c05e10f827ed24a737a73bdb1b142c6e,,,
modrinth-mrpack,mods/packetfixer-3.3.1-1.20.5-1.21.X-merged.jar,46623,45.53 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/c7m1mi73/versions/2C41Q8WX/packetfixer-3.3.1-1.20.5-1.21.X-merged.jar,a8bb6e25807682e72c23bf4065f3cd5f6373ece3,d0acfaa6ef394fc7d9e677022bda06a6c8be7851ba8860897999775b657b5e10878578fe626505b0c9dbc01d26f559dbb1214aabb081d076824648047094e2e1,,,
