path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512
mods/[动态准星] dynamiccrosshair-9.10+1.20.1-fabric.jar,510805,498.83 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/ZcR9weSm/versions/kiEtbqAW/dynamiccrosshair-9.10%2B1.20.1-fabric.jar,3f12ffb5db54643f475a6a5eb0fcaeb86202312e,695d9cb67b351f31ad9ada38bcf74d870aa9a00b625698cf72d72ccf74b71a7d2ce4a10036f171a8edba4ee29f237915ef110b6192a0099b2e1546513b68a3b8
mods/[动态准星兼容] dynamiccrosshaircompat-4.4+1.20.1-fabric.jar,413085,403.40 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/EwPIWPJ9/versions/LoPpHvOA/dynamiccrosshaircompat-4.4%2B1.20.1-fabric.jar,0037bca8ddea99b8384a9a3738d35ee0d2277851,3538e4e3d2d5c7fdf0cd8f7ffe2f3d00367ef65155f362e4ba00c3de21707b39663b59d03dfca479fa0e8e36413f300cc166ce42c2835cc83e764f68255042a5
mods/[动态环境／动态环绕] DynamicSurroundings-Fabric-1.20.1-0.3.3.jar,14370046,13.70 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/H7fshfpD/versions/SQuUb0Fo/DynamicSurroundings-Fabric-1.20.1-0.3.3.jar,71d6ba63d3f767da2dee09e5be38314decff9379,5fd852db0e4cd5405e44588923c648dbf7fa2f25f010f073177df0b775e5a62947df3bf14f0281edcef25b47d9f635fceca1650a86b72965624135b00e49c890
mods/[双人骑行：重铸] RidingPartners-fabric-1.20.1.jar,10095,9.86 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/Kpxhlt9n/versions/MgLoqkpu/RidingPartners-fabric-1.20.1.jar,88a6ea5431557cf36aa9692a0f5d57f7672b7458,6fd7d60b144a89b489b375f3bbfd8043828d6e285b0458f4b8b9cf250d15be46ac981a8f376ba376dea658b52d871d3244a95ca5babb99fc2355bea32d4020a7
mods/[可拖动列表／可拖动资源包] draggable_lists-mc1.20-1.0.1-rev.824b2f3.jar,93320,91.13 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/aLcHfalx/versions/heA62vSK/draggable_lists-mc1.20-1.0.1-rev.824b2f3.jar,90644052d1a3c87b220954bb69e0e1b82d607340,2cefd98cf58aef72db7d15465c0313d057542d7ee0490a69d94b8d13f7b1b08b46dc84dca043d648568518b1d905d5ca750920025e90768d680a8293d984f42b
mods/[可爱蜗牛] lovely_snails-1.1.5+1.20.1.jar,132901,129.79 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/hBVVhStr/versions/n1JQ3yYD/lovely_snails-1.1.5%2B1.20.1.jar,172132e013693d7884ad89332a08d4ba67ee0add,6475565b349b555accc426a6b0ccf62b990d38f35bb8e67745567643efc9530f3dea1bd11c5eb7d13b6c80f660f3d74ecac07c2b992ebbadae97f7237bff1f26
mods/[可视化工作台] VisualWorkbench-v8.0.1-1.20.1-Fabric.jar,79613,77.75 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/kfqD1JRw/versions/NP7AXO6Q/VisualWorkbench-v8.0.1-1.20.1-Fabric.jar,fa802fa9736101df6cd40b29c427ae29291eb15c,55c0846886cc363703f09aca74e1c4b540aa04f38824893ffc66fe4db308fcb9c3af224edbe64585251c356f2a72132d6448b7ad827cff35849f3b9331a5d7af
mods/[可视性粒子美化] visuality-0.7.1+1.20.jar,67302,65.72 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/rI0hvYcd/versions/uhvQD6Ny/visuality-0.7.1%2B1.20.jar,a4a5fc1edae49126432fc903dd6fdbb88b7251ed,854148cde0cee5a10192af246aae8dd2267b36dfc46bfea5cb4550393acf67523909e22ce0bf1827607ee27c7a32878119435127802499f68e4b1768446fe9a8
mods/[启动时间] startup_time-1.1.1.jar,10807,10.55 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/ZRWcncy3/versions/55Q9NnaK/startup_time-1.1.1.jar,4c5b9bf0d3e96a1aaf1241a617e4bee6147cbdb0,d48a9bd222469c622a62e9dfd0b83bab1d57a8460ca390d270716be858cfdd2faade742cf76c9ec4b64fac4f5acb9a0cec5edc258483c2e6d93a2ac957fd4c07
mods/[地毯] fabric-carpet-1.20-1.4.112+v230608.jar,1577482,1.50 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/TQTTVgYE/versions/K0Wj117C/fabric-carpet-1.20-1.4.112%2Bv230608.jar,29faa4d1c22509b67a6d66b2a8c9d3b5aa483b65,bf9060e6b1d30d676d9efd30369ccb5baef164fc2d87aad7c7a19d2d9265b5d1d328428a308bdd15960a26bfe46dcd823a236c39f4e26474847354337b043c51
